SOURCE_ID,TARGET_ID,EXP_TIME,RES_TIME
2183890,2183890,0.000000,0.000000
2183890,2533850,26.835191,28.073860
2183890,2171002,12.410563,20.667876
2183890,2831857,36.837495,38.764922
2183890,2823221,35.645701,37.273571
2183890,2749785,28.633980,29.791365
2183890,2516565,27.545511,27.996282
2183890,2883705,35.610729,37.248511
2183890,2443126,19.206880,21.940164
2183890,3030781,31.271341,34.941758
2183890,2836189,34.384061,37.175806
2183890,2538175,28.018007,27.778000
2183890,3043851,35.042279,40.888922
2183890,2270343,21.164662,24.568865
2183890,3030893,34.738344,39.926004
2183890,2183782,28.187434,31.127310
2183890,2166667,12.107118,17.245730
2183890,3022254,34.536533,40.566289
2183890,2542668,37.584438,39.038227
2183890,2317905,23.174194,31.846153
2183890,2434463,27.426278,25.831972
2183890,3017935,34.742870,40.590993
2183890,2235753,13.007438,13.852740
2183890,2084480,17.626659,18.271446
2183890,2676675,50.580465,49.803502
2183890,2291869,13.073751,18.035060
2183890,3004977,34.750613,40.709582
2183890,2538347,37.532269,39.121143
2183890,2996337,34.542459,40.524435
2183890,2482006,21.576686,24.247851
2183890,2469015,23.121786,24.859245
2183890,2784308,34.397385,33.289094
2183890,3026578,35.674997,41.738506
2183890,2546808,25.644162,27.853026
2183890,2235714,6.318365,9.520164
2183890,2965942,28.579274,33.283385
2183890,3009298,35.307556,41.119955
2183890,2965951,28.746778,33.079538
2183890,2979058,34.235582,40.439830
2183890,2235641,22.006964,27.087881
2183890,2672189,25.918393,32.956346
2183890,2486320,22.869028,26.811621
2183890,2339386,18.582554,20.754920
2183890,2754418,37.425305,39.880725
2183890,2469207,46.692425,42.400293
2183890,2957460,34.736338,40.384468
2183890,2810230,37.867635,36.889662
2183890,3017942,36.746599,42.850947
2183890,2348188,30.255153,41.032857
2183890,2940182,34.638587,40.366293
2183890,2464791,26.443056,26.672796
2183890,2378392,30.929585,34.137567
2183890,2603166,46.051933,45.810821
2183890,3095705,40.834710,47.110868
2183890,2352511,31.471948,41.737332
2183890,2979066,36.368263,42.580742
2183890,2909946,34.134959,40.451435
2183890,2110368,21.352253,25.352365
2183890,2378487,41.922140,47.166009
2183890,2896987,34.439920,40.301479
2183890,2525273,23.212120,25.683599
2183890,2823549,34.632344,39.812726
2183890,2693802,27.434869,32.908140
2183890,2879710,34.628583,40.409631
2183890,2793311,34.030577,40.097473
2183890,3013619,35.893743,41.557584
2183890,2278974,21.526488,22.355543
2183890,2481877,24.876181,28.568337
2183890,2265975,10.871125,11.918790
2183890,2788994,34.807207,41.066563
2183890,2698168,29.430445,34.926700
2183890,2391276,18.304722,20.890314
2183890,2901314,44.202582,43.793589
2183890,2369662,19.971260,20.521281
2183890,2767394,34.334809,40.518215
2183890,2503599,27.170488,27.968942
2183890,2603113,32.302734,34.659091
2183890,2395575,23.417330,22.871902
2183890,2525203,25.235983,27.719906
2183890,2927235,41.618275,45.510304
2183890,2412800,22.516231,25.783443
2183890,2827876,38.335107,41.984878
2183890,2512242,28.100643,28.253873
2183890,2979077,40.026716,46.812006
2183890,3004988,38.392055,44.134183
